Algorithm,Size,Time
MergeSortI,10000,0.000710
MergeSortI,10000,0.000709
MergeSortI,10000,0.000699
MergeSortI,10000,0.000714
MergeSortI,10000,0.000701
MergeSortI,10000,0.000716
MergeSortI,10000,0.000709
MergeSortI,10000,0.000697
MergeSortI,10000,0.000707
MergeSortI,10000,0.000709
MergeSortI,10000,0.000708
MergeSortI,10000,0.000725
MergeSortI,10000,0.000720
MergeSortI,10000,0.000720
MergeSortI,10000,0.000725
MergeSortI,10000,0.000717
MergeSortI,10000,0.000715
MergeSortI,10000,0.000716
MergeSortI,10000,0.000729
MergeSortI,10000,0.000716
MergeSortI,10000,0.000717
MergeSortI,10000,0.000722
MergeSortI,10000,0.000722
MergeSortI,10000,0.000713
MergeSortI,10000,0.000713
MergeSortI,10000,0.000715
MergeSortI,10000,0.000716
MergeSortI,10000,0.000712
MergeSortI,100000,0.007691
MergeSortI,100000,0.007692
MergeSortI,100000,0.007654
MergeSortI,100000,0.007685
MergeSortI,100000,0.007698
MergeSortI,100000,0.007708
MergeSortI,100000,0.007795
MergeSortI,100000,0.007704
MergeSortI,100000,0.007775
MergeSortI,100000,0.007707
MergeSortI,100000,0.007752
MergeSortI,100000,0.007688
MergeSortI,100000,0.007767
MergeSortI,100000,0.007729
MergeSortI,100000,0.007753
MergeSortI,100000,0.007693
MergeSortI,100000,0.007804
MergeSortI,100000,0.007681
MergeSortI,100000,0.007807
MergeSortI,100000,0.007755
MergeSortI,100000,0.007735
MergeSortI,100000,0.007727
MergeSortI,100000,0.007870
MergeSortI,100000,0.007758
MergeSortI,100000,0.007772
MergeSortI,100000,0.007739
MergeSortI,100000,0.007763
MergeSortI,100000,0.007745
MergeSortI,100000,0.007731
MergeSortI,100000,0.007752
MergeSortR,1000,0.000069
MergeSortR,1000,0.000055
MergeSortR,1000,0.000046
MergeSortR,1000,0.000043
MergeSortR,1000,0.000042
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,1000,0.000041
MergeSortR,10000,0.000753
MergeSortR,10000,0.000739
MergeSortR,10000,0.000732
MergeSortR,10000,0.000736
MergeSortR,10000,0.000729
MergeSortR,10000,0.000772
MergeSortR,10000,0.000729
MergeSortR,10000,0.000730
MergeSortR,10000,0.000737
MergeSortR,10000,0.000739
MergeSortR,10000,0.000729
MergeSortR,10000,0.000729
MergeSortR,10000,0.000729
MergeSortR,10000,0.000731
MergeSortR,10000,0.000740
MergeSortR,10000,0.000729
MergeSortR,10000,0.000728
MergeSortR,10000,0.000729
MergeSortR,10000,0.000729
MergeSortR,10000,0.000733
MergeSortR,10000,0.000729
MergeSortR,10000,0.000736
MergeSortR,10000,0.000748
MergeSortR,10000,0.000745
MergeSortR,10000,0.000755
MergeSortR,10000,0.000742
MergeSortR,10000,0.000738
MergeSortR,10000,0.000735
MergeSortR,10000,0.000736
MergeSortR,10000,0.000746
MergeSortR,100000,0.008034
MergeSortR,100000,0.007887
MergeSortR,100000,0.007854
MergeSortR,100000,0.007995
MergeSortR,100000,0.007933
MergeSortR,100000,0.007928
MergeSortR,100000,0.007910
MergeSortR,100000,0.007951
MergeSortR,100000,0.007902
MergeSortR,100000,0.007938
MergeSortR,100000,0.007922
MergeSortR,100000,0.007916
MergeSortR,100000,0.007906
MergeSortR,100000,0.007917
MergeSortR,100000,0.007931
MergeSortR,100000,0.007928
MergeSortR,100000,0.007973
MergeSortR,100000,0.007911
MergeSortR,100000,0.007905
MergeSortR,100000,0.008002
MergeSortR,100000,0.008048
MergeSortR,100000,0.007926
MergeSortR,100000,0.007931
MergeSortR,100000,0.007963
MergeSortR,100000,0.007940
MergeSortR,100000,0.007944
MergeSortR,100000,0.007991
MergeSortR,100000,0.007945
MergeSortR,100000,0.007968
MergeSortR,100000,0.007935
BubbleSortI,1000,0.001679
BubbleSortI,1000,0.001670
BubbleSortI,1000,0.001670
BubbleSortI,1000,0.001689
BubbleSortI,1000,0.001665
BubbleSortI,1000,0.001690
BubbleSortI,1000,0.001678
BubbleSortI,1000,0.001676
BubbleSortI,1000,0.001665
BubbleSortI,1000,0.001680
BubbleSortI,1000,0.001671
BubbleSortI,1000,0.001665
BubbleSortI,1000,0.001670
BubbleSortI,1000,0.001664
BubbleSortI,1000,0.001706
BubbleSortI,1000,0.001701
BubbleSortI,1000,0.001665
BubbleSortI,1000,0.001679
BubbleSortI,1000,0.001663
BubbleSortI,1000,0.001664
BubbleSortI,1000,0.001668
BubbleSortI,1000,0.001670
BubbleSortI,1000,0.001665
BubbleSortI,1000,0.001668
BubbleSortI,1000,0.001684
BubbleSortI,1000,0.001676
BubbleSortI,1000,0.001665
BubbleSortI,1000,0.001670
BubbleSortI,1000,0.001673
BubbleSortI,1000,0.001664
BubbleSortI,10000,0.167900
BubbleSortI,10000,0.167804
BubbleSortI,10000,0.167812
BubbleSortI,10000,0.167767
BubbleSortI,10000,0.167854
BubbleSortI,10000,0.167940
BubbleSortI,10000,0.167938
BubbleSortI,10000,0.167816
BubbleSortI,10000,0.167750
BubbleSortI,10000,0.167565
BubbleSortI,10000,0.167520
BubbleSortI,10000,0.168624
BubbleSortI,10000,0.167587
BubbleSortI,10000,0.166501
BubbleSortI,10000,0.165699
BubbleSortI,10000,0.165807
BubbleSortI,10000,0.165738
BubbleSortI,10000,0.165709
BubbleSortI,10000,0.165672
BubbleSortI,10000,0.165812
BubbleSortI,10000,0.164614
BubbleSortI,10000,0.164802
BubbleSortI,10000,0.164628
BubbleSortI,10000,0.164685
