Algorithm,Size,Time
IdadeRepII,10000,462818.000000
IdadeRepII,10000,506175.000000
IdadeRepII,10000,499693.000000
IdadeRepII,10000,461546.000000
IdadeRepII,10000,526372.000000
IdadeRepII,10000,529257.000000
IdadeRepII,10000,508953.000000
IdadeRepII,10000,491452.000000
IdadeRepII,10000,502806.000000
IdadeRepII,10000,486829.000000
IdadeRepII,10000,459126.000000
IdadeRepII,10000,456248.000000
IdadeRepII,10000,470942.000000
IdadeRepII,10000,473201.000000
IdadeRepII,10000,454827.000000
IdadeRepII,10000,487341.000000
IdadeRepII,10000,509887.000000
IdadeRepII,10000,473902.000000
IdadeRepII,10000,485458.000000
IdadeRepII,10000,466733.000000
IdadeRepII,10000,515587.000000
